DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2023-01-31,EQ,545.0,557.0,537.85,538.2,556.95,553.5,550.83,629.55,425.0,21911943,12069723500.85,284762,SBIN
2023-01-30,EQ,536.0,554.35,525.2,539.95,541.25,538.2,536.97,629.55,425.0,40797825,21907160847.25,590951,SBIN
2023-01-27,EQ,568.0,568.55,532.25,568.7,542.0,539.95,548.08,629.55,425.0,40163464,22012948569.6,501251,SBIN
2023-01-25,EQ,595.85,595.85,567.4,594.35,568.5,568.7,574.28,629.55,425.0,25686294,14751042028.8,441882,SBIN
2023-01-24,EQ,603.5,604.6,593.05,600.45,593.95,594.35,597.94,629.55,425.0,7609623,4550101925.85,143693,SBIN
2023-01-23,EQ,598.5,601.75,592.95,592.2,601.0,600.45,599.43,629.55,425.0,6604469,3958919244.8,122483,SBIN
2023-01-20,EQ,593.8,596.6,590.8,589.85,592.95,592.2,593.93,629.55,425.0,6750607,4009374692.95,114106,SBIN
2023-01-19,EQ,591.0,591.75,587.55,591.45,589.7,589.85,589.57,629.55,425.0,7475688,4407407361.6,159313,SBIN
2023-01-18,EQ,595.9,597.15,587.6,592.95,591.0,591.45,591.61,629.55,425.0,11538075,6826073685.45,187691,SBIN
2023-01-17,EQ,603.0,606.0,586.05,603.0,593.4,592.95,593.93,629.55,425.0,13461999,7995508779.4,179000,SBIN
2023-01-16,EQ,603.0,606.1,600.6,600.1,603.2,603.0,603.22,629.55,425.0,5483191,3307558082.15,114056,SBIN
2023-01-13,EQ,597.9,602.9,593.65,594.9,600.7,600.1,598.73,629.55,425.0,7877610,4716567188.3,122377,SBIN
2023-01-12,EQ,597.9,597.9,590.1,596.7,594.95,594.9,593.57,629.55,425.0,8183715,4857601333.75,195861,SBIN
2023-01-11,EQ,596.45,599.5,592.25,595.15,597.0,596.7,596.73,629.55,425.0,7419630,4427502701.85,120446,SBIN
2023-01-10,EQ,608.45,609.0,590.6,607.7,595.5,595.15,596.1,629.55,425.0,10622660,6332208142.65,187602,SBIN
2023-01-09,EQ,605.0,609.0,600.1,600.65,608.45,607.7,606.07,629.55,425.0,8878905,5381251510.2,160223,SBIN
2023-01-06,EQ,607.4,607.45,597.0,605.1,601.0,600.65,601.57,629.55,425.0,7972036,4795747048.6,154179,SBIN
2023-01-05,EQ,607.0,611.6,601.95,605.2,605.75,605.1,605.84,629.55,425.0,8241475,4992982082.0,146571,SBIN
2023-01-04,EQ,611.85,614.95,604.0,612.4,605.6,605.2,607.74,629.55,425.0,7011191,4260969479.35,113548,SBIN
2023-01-03,EQ,614.5,616.6,610.0,612.2,612.95,612.4,613.26,629.55,425.0,6818062,4181258078.2,122799,SBIN
2023-01-02,EQ,614.95,619.2,611.2,613.7,612.6,612.2,614.42,629.55,425.0,6726084,4132615299.65,125418,SBIN
2022-12-30,EQ,615.25,620.55,611.35,611.8,614.25,613.7,615.43,629.55,425.0,13052895,8033100347.05,158347,SBIN
2022-12-29,EQ,600.0,618.0,597.15,601.05,614.05,611.8,608.16,629.55,425.0,20130392,12242524564.7,168187,SBIN
2022-12-28,EQ,600.9,607.0,598.55,601.9,601.0,601.05,602.94,629.55,425.0,7988631,4816651444.45,143945,SBIN
2022-12-27,EQ,600.4,603.1,593.3,597.1,602.0,601.9,598.21,629.55,425.0,9638618,5765912745.95,206219,SBIN
2022-12-26,EQ,574.0,601.7,570.7,574.0,597.1,597.1,589.64,629.55,425.0,13201587,7784134332.2,210003,SBIN
2022-12-23,EQ,590.0,590.7,571.5,593.4,573.1,574.0,579.55,629.55,425.0,13047046,7561431125.75,226901,SBIN
2022-12-22,EQ,597.0,599.0,587.55,593.4,592.0,593.4,592.49,629.55,425.0,8740149,5178437456.55,136417,SBIN
2022-12-21,EQ,605.9,609.15,589.6,604.45,594.3,593.4,599.66,629.55,425.0,9217253,5527195688.5,145768,SBIN
2022-12-20,EQ,603.0,606.5,599.55,604.45,605.3,604.45,602.65,629.55,425.0,6753785,4070154751.5,128701,SBIN
2022-12-19,EQ,604.0,609.5,603.0,603.35,605.5,604.45,605.78,629.55,425.0,8322012,5041268364.25,149442,SBIN
2022-12-16,EQ,612.0,615.6,602.1,615.95,604.35,603.35,607.83,629.55,425.0,9435071,5734914585.6,160875,SBIN
2022-12-15,EQ,625.55,629.55,614.3,625.5,614.7,615.95,621.92,629.55,425.0,10622271,6606176441.8,148853,SBIN
2022-12-14,EQ,618.5,626.75,617.5,616.75,625.3,625.5,623.52,626.75,425.0,14010673,8735884073.65,187174,SBIN
2022-12-13,EQ,613.5,617.4,612.5,613.05,616.8,616.75,615.45,622.7,425.0,7455415,4588404579.4,162670,SBIN
2022-12-12,EQ,614.8,618.7,611.0,616.5,612.35,613.05,613.74,622.7,425.0,9285187,5698647281.15,135955,SBIN
2022-12-09,EQ,614.4,618.0,609.1,611.65,617.0,616.5,613.84,622.7,425.0,11202267,6876434227.3,169991,SBIN
2022-12-08,EQ,609.75,613.8,607.15,607.05,612.25,611.65,611.14,622.7,425.0,10020015,6123608626.5,146277,SBIN
2022-12-07,EQ,610.85,612.9,604.5,608.95,606.95,607.05,607.96,622.7,425.0,7613892,4628904222.25,113416,SBIN
2022-12-06,EQ,614.75,619.8,607.8,617.3,609.3,608.95,613.29,622.7,425.0,12996244,7970503352.0,190699,SBIN
2022-12-05,EQ,608.5,618.0,607.55,607.55,616.7,617.3,614.05,622.7,425.0,11585602,7114164816.2,210728,SBIN
2022-12-02,EQ,607.5,609.6,604.25,608.1,607.6,607.55,607.29,622.7,425.0,7533838,4575252955.95,142901,SBIN
2022-12-01,EQ,607.85,609.8,601.55,602.45,608.0,608.1,605.68,622.7,425.0,14209313,8606271146.8,172004,SBIN
2022-11-30,EQ,608.5,611.4,598.4,608.55,602.95,602.45,603.09,622.7,425.0,15606230,9412010412.2,174362,SBIN
2022-11-29,EQ,607.1,611.8,607.1,608.6,608.1,608.55,609.32,622.7,425.0,6942919,4230494096.3,121735,SBIN
2022-11-28,EQ,605.6,610.9,602.35,607.4,608.0,608.6,606.01,622.7,425.0,7934274,4808229149.85,121851,SBIN
2022-11-25,EQ,610.55,613.7,606.25,609.35,607.2,607.4,609.3,622.7,425.0,9994513,6089640965.5,136359,SBIN
2022-11-24,EQ,609.75,611.3,605.8,607.65,609.6,609.35,608.75,622.7,425.0,8960032,5454395604.45,128229,SBIN
2022-11-23,EQ,601.55,609.6,601.0,599.1,607.1,607.65,606.5,622.7,425.0,12435924,7542386457.5,171897,SBIN
2022-11-22,EQ,598.15,600.7,596.15,598.1,599.0,599.1,598.56,622.7,425.0,8048595,4817532263.45,126028,SBIN
2022-11-21,EQ,602.1,602.1,595.35,602.7,598.0,598.1,598.39,622.7,425.0,7412419,4435509514.55,135865,SBIN
2022-11-18,EQ,601.0,605.75,597.15,599.05,602.05,602.7,601.12,622.7,425.0,12933675,7774746404.45,155935,SBIN
2022-11-17,EQ,599.1,602.75,596.15,599.75,598.45,599.05,599.41,622.7,425.0,8167131,4895433201.45,114824,SBIN
2022-11-16,EQ,599.95,603.5,596.0,600.85,599.0,599.75,600.52,622.7,425.0,11555749,6939489693.9,168811,SBIN
2022-11-15,EQ,594.3,602.1,592.65,592.55,601.5,600.85,597.7,622.7,425.0,10286417,6148169628.95,153811,SBIN
2022-11-14,EQ,603.95,603.95,591.65,601.3,592.5,592.55,596.08,622.7,425.0,12957268,7723573323.3,227415,SBIN
2022-11-11,EQ,617.25,619.55,598.5,605.75,600.0,601.3,605.28,622.7,425.0,15525267,9397103693.35,220631,SBIN
2022-11-10,EQ,613.1,615.1,602.2,615.55,605.05,605.75,607.23,622.7,425.0,11618405,7055030835.7,232699,SBIN
2022-11-09,EQ,621.0,621.0,610.55,614.15,614.6,615.55,615.08,622.7,425.0,18939854,11649523009.9,302328,SBIN
2022-11-07,EQ,613.0,622.7,607.7,593.95,613.8,614.15,615.56,622.7,425.0,44265903,27248449289.6,470162,SBIN
2022-11-04,EQ,586.0,596.95,580.4,584.9,595.7,593.95,587.64,596.95,425.0,25759031,15137053924.2,302456,SBIN
2022-11-03,EQ,569.0,587.95,568.0,573.85,584.15,584.9,581.58,587.95,425.0,17557998,10211388603.8,244825,SBIN
2022-11-02,EQ,575.9,578.95,569.9,576.9,573.0,573.85,574.79,586.2,425.0,10241440,5886694998.95,142730,SBIN
2022-11-01,EQ,576.35,585.75,574.6,573.8,576.0,576.9,579.85,586.2,425.0,12069579,6998554295.3,163499,SBIN
2022-10-31,EQ,574.95,577.45,568.4,570.75,573.5,573.8,572.79,586.2,425.0,9894639,5667560387.8,139535,SBIN
2022-10-28,EQ,579.95,582.65,567.0,579.65,571.8,570.75,572.65,586.2,425.0,10043644,5751515569.95,144061,SBIN
2022-10-27,EQ,583.95,585.0,577.6,578.55,579.1,579.65,580.71,586.2,425.0,13613533,7905525313.35,209377,SBIN
2022-10-25,EQ,572.5,586.2,568.0,570.5,577.0,578.55,578.28,586.2,425.0,19899324,11507427412.85,215376,SBIN
2022-10-24,EQ,567.0,572.5,565.9,560.85,572.15,570.5,569.46,578.5,425.0,3692065,2102464996.35,63147,SBIN
2022-10-21,EQ,557.25,565.8,557.25,555.4,561.65,560.85,562.7,578.5,425.0,11767639,6621648120.8,198859,SBIN
2022-10-20,EQ,552.0,556.8,545.3,553.4,555.5,555.4,551.98,578.5,425.0,11225588,6196328573.95,134915,SBIN
2022-10-19,EQ,563.0,563.45,551.55,562.45,553.75,553.4,555.4,578.5,425.0,9540583,5298845388.7,137573,SBIN
2022-10-18,EQ,547.1,563.5,546.75,543.65,562.4,562.45,558.19,578.5,425.0,20440781,11409791394.1,245391,SBIN
2022-10-17,EQ,526.4,544.7,524.2,527.2,543.2,543.65,538.7,578.5,425.0,13485349,7264515862.55,208408,SBIN
2022-10-14,EQ,530.2,534.85,526.0,521.45,527.8,527.2,530.03,578.5,425.0,8545479,4529375083.5,144578,SBIN
2022-10-13,EQ,533.0,533.8,520.2,533.8,521.9,521.45,525.44,578.5,425.0,12972765,6816438201.85,166849,SBIN
2022-10-12,EQ,530.0,535.0,526.0,527.4,535.0,533.8,530.03,578.5,425.0,8522604,4517236010.0,121592,SBIN
2022-10-11,EQ,530.75,533.7,525.5,530.75,527.0,527.4,529.35,578.5,425.0,10825440,5730463472.65,159970,SBIN
2022-10-10,EQ,525.7,533.9,522.2,530.2,531.4,530.75,528.13,578.5,425.0,9649292,5096052558.9,191653,SBIN
2022-10-07,EQ,535.5,535.6,526.55,537.3,531.0,530.2,529.64,578.5,425.0,11065307,5860624159.5,185698,SBIN
2022-10-06,EQ,534.6,541.8,534.6,532.7,537.35,537.3,538.44,578.5,425.0,9507322,5119102137.6,183101,SBIN
2022-10-04,EQ,533.0,535.8,527.8,519.75,532.95,532.7,532.39,578.5,425.0,8745887,4656244525.45,128142,SBIN
2022-10-03,EQ,527.6,531.65,518.5,530.6,518.95,519.75,525.01,578.5,425.0,9351162,4909456239.05,141130,SBIN
2022-09-30,EQ,524.0,536.9,516.15,521.75,531.55,530.6,528.17,578.5,425.0,17466950,9225477677.2,199404,SBIN
2022-09-29,EQ,529.0,535.7,519.55,524.85,524.0,521.75,525.18,578.5,425.0,17310168,9090986645.6,215284,SBIN
2022-09-28,EQ,532.9,539.8,520.35,536.5,523.5,524.85,532.17,578.5,425.0,12233485,6510284800.4,183919,SBIN
2022-09-27,EQ,544.55,550.9,533.2,543.3,538.0,536.5,542.4,578.5,425.0,11066799,6002626270.3,154979,SBIN
2022-09-26,EQ,545.8,549.0,533.0,550.6,545.3,543.3,541.37,578.5,425.0,16158750,8747941723.25,274214,SBIN
2022-09-23,EQ,564.8,568.0,549.5,567.3,550.9,550.6,555.53,578.5,425.0,12563239,6979215908.2,282839,SBIN
2022-09-22,EQ,566.75,574.0,562.0,569.7,567.5,567.3,567.39,578.5,425.0,11869435,6734594427.3,181550,SBIN
2022-09-21,EQ,575.0,577.3,565.4,574.05,569.0,569.7,570.45,578.5,425.0,9392526,5357998661.95,174676,SBIN
2022-09-20,EQ,577.95,577.95,572.85,572.25,573.6,574.05,575.5,578.5,425.0,8484017,4882536374.35,176912,SBIN
2022-09-19,EQ,560.7,574.4,559.55,561.8,572.5,572.25,569.54,578.5,425.0,11194003,6375398054.4,163866,SBIN
2022-09-16,EQ,569.1,574.0,560.3,572.15,562.5,561.8,564.61,578.5,425.0,14739280,8321982741.65,231709,SBIN
2022-09-15,EQ,572.55,578.5,567.9,571.75,571.5,572.15,573.5,578.5,425.0,12749947,7312060768.8,224387,SBIN
2022-09-14,EQ,550.0,574.85,549.25,558.0,572.3,571.75,567.79,574.85,425.0,21632641,12282852152.3,301335,SBIN
2022-09-13,EQ,560.0,560.0,553.75,554.9,557.1,558.0,557.73,560.0,425.0,16707275,9318085634.25,148044,SBIN
2022-09-12,EQ,554.9,558.6,551.25,553.35,554.95,554.9,555.63,558.6,425.0,9677415,5377080074.6,127479,SBIN
2022-09-09,EQ,549.65,557.0,548.0,544.65,551.95,553.35,553.57,557.0,425.0,18587927,10289692790.2,267586,SBIN
2022-09-08,EQ,536.0,546.3,535.5,532.85,545.25,544.65,541.55,549.0,425.0,12240707,6628912370.75,141256,SBIN
2022-09-07,EQ,534.4,537.45,531.55,537.8,532.1,532.85,534.25,549.0,425.0,8445359,4511895645.9,106610,SBIN
2022-09-06,EQ,538.0,542.7,534.1,538.9,537.3,537.8,539.43,549.0,425.0,8657868,4670346677.0,108579,SBIN
2022-09-05,EQ,537.0,540.8,536.3,536.7,538.75,538.9,539.17,549.0,425.0,7819994,4216330099.55,106157,SBIN
